baryon_density,pressure,energy_density
6.64e13,8.872263071898341e10,6.729203468499764e13
6.972000000000001e13,1.0047706410638022e11,7.066135462782819e13
7.304e13,1.1400177003189772e11,7.403127537647192e13
7.636000000000002e13,1.2945745440517223e11,7.74018537305914e13
7.968000000000002e13,1.4700310176639966e11,8.077314850461456e13
8.300000000000002e13,1.6679559943910614e11,8.414522019584484e13
8.632000000000002e13,1.889894162884849e11,8.751813069178702e13
8.964000000000002e13,2.1373633050190878e11,9.089194301113398e13
9.296000000000003e13,2.4118520142018896e11,9.426672107389931e13
9.628000000000003e13,2.7148178096026074e11,9.764252949699633e13
9.960000000000003e13,3.047685605963144e11,1.010194334121146e14
1.0292000000000003e14,3.41184650190105e11,1.043974983033727e14
1.0624000000000003e14,3.808656853480613e11,1.0777678986245878e14
1.0956000000000003e14,4.23943760185158e11,1.111573738594189e14
1.1288000000000003e14,4.7054738270139154e11,1.1453931602741381e14
1.1620000000000003e14,5.208014501714161e11,1.1792268196003097e14
1.1952000000000003e14,5.748272421910807e11,1.213075370198961e14
1.2284000000000005e14,6.327424292047502e11,1.2469394625747294e14
1.2616000000000005e14,6.946610945657595e11,1.2808197433904838e14
1.2948000000000005e14,7.606937683128064e11,1.314716854830617e14
1.3280000000000005e14,8.309474710543461e11,1.3486314340394545e14
1.3612000000000005e14,9.055257664628345e11,1.3825641126280855e14
1.3944000000000006e14,9.845288210811617e11,1.4165155162429675e14
1.4276000000000006e14,1.068053470205726e12,1.4504862641906578e14
1.4608000000000006e14,1.1561932888045022e12,1.48447696911337e14
1.4940000000000006e14,1.2490386664794194e12,1.5184882367106725e14
1.5272000000000006e14,1.3466768856420662e12,1.552520665502944e14
1.5604000000000006e14,1.4491922021140413e12,1.5865748466327338e14
1.5936000000000006e14,1.5566659274990789e12,1.6206513637002638e14
1.6268000000000006e14,1.6691765127184573e12,1.654750792630139e14
1.660000000000001e14,1.786799632196668e12,1.6888737015658303e14
1.693200000000001e14,1.909608268228302e12,1.72302065078972e14
1.726400000000001e14,2.037672795148269e12,1.75719219266573e14
1.759600000000001e14,2.171061062943639e12,1.791388871602718e14
1.792800000000001e14,2.309838480023637e12,1.8256112240361562e14
1.826000000000001e14,2.4540680949000786e12,1.8598597784264366e14
1.859200000000001e14,2.6038106765522363e12,1.894135055272262e14
1.892400000000001e14,2.7591247933131963e12,1.9284375671369506e14
1.925600000000001e14,2.9200668901298784e12,1.962767818686894e14
1.958800000000001e14,3.0866913640693604e12,1.9971263067403453e14
1.992000000000001e14,3.2590506379871265e12,2.0315135203256928e14
2.0252000000000012e14,3.4371952322820557e12,2.0659299407477794e14
2.0584000000000012e14,3.621173834684299e12,2.1003760416617884e14
2.091600000000001e14,3.8103938831568e12,2.1348437788091478e14
2.124800000000001e14,4.0024700533564424e12,2.1693011591631012e14
2.158000000000001e14,4.198735014821836e12,2.2037656309117084e14
2.191200000000001e14,4.399649824641223e12,2.238243118633487e14
2.224400000000001e14,4.605441783727186e12,2.2727364662896416e14
2.257600000000001e14,4.816259785646391e12,2.307247494656656e14
2.2908000000000012e14,5.03221468678685e12,2.3417775345830666e14
2.3240000000000012e14,5.253395397012854e12,2.3763276389047697e14
2.3572000000000012e14,5.479876733621175e12,2.4108986854978762e14
2.3904000000000012e14,5.711723765680282e12,2.4454914340096306e14
2.4236000000000012e14,5.948994434511261e12,2.4801065598705647e14
2.4568000000000012e14,6.191741239334715e12,2.51474467600657e14
2.4900000000000012e14,6.440012377263789e12,2.5494063473853884e14
2.5232000000000012e14,6.693852546071961e12,2.58409210114487e14
2.5564000000000012e14,6.953303528769922e12,2.6188024338704134e14
2.5896000000000012e14,7.218404631567737e12,2.6535378169634122e14
2.6228000000000016e14,7.4891930201579e12,2.6882987006909903e14
2.6560000000000016e14,7.765703983520776e12,2.7230855173006706e14
2.6892000000000016e14,8.047971144853584e12,2.7578986834566622e14
2.7224000000000016e14,8.33602663310553e12,2.792738602174387e14
2.7556000000000016e14,8.629901224621209e12,2.827605664377314e14
2.7888000000000016e14,8.92962446172854e12,2.862500250165243e14
2.822000000000002e14,9.235224753255006e12,2.897422729859042e14
2.855200000000002e14,9.546729460720582e12,2.9323734648699325e14
2.888400000000002e14,9.864164972993148e12,2.9673528084299594e14
2.921600000000002e14,1.0187556771571436e13,3.002361106210958e14
2.954800000000002e14,1.0516929488156758e13,3.037398696853615e14
2.988000000000002e14,1.0852306955821037e13,3.072465912423122e14
3.021200000000002e14,1.1193712254805314e13,3.107563078804553e14
3.054400000000002e14,1.1541167753777754e13,3.142690516048344e14
3.087600000000002e14,1.1894695147217438e13,3.1778485386742156e14
3.120800000000002e14,1.2254315489465824e13,3.213037455940228e14
3.154000000000002e14,1.2620049225899566e13,3.2482575720823556e14
3.187200000000002e14,1.2991916221583316e13,3.2835091865291894e14
3.220400000000002e14,1.3369935787722305e13,3.3187925940952944e14
3.253600000000002e14,1.375412670616062e13,3.354108085156324e14
3.286800000000002e14,1.414450725215575e13,3.389455945808315e14
3.320000000000002e14,1.4541095215604377e13,3.424836458013551e14
3.353200000000002e14,1.4943907920885219e13,3.460249899734358e14
3.386400000000002e14,1.5352962245450945e13,3.495696545056649e14
3.419600000000002e14,1.5768274637290121e13,3.5311766643043606e14
3.452800000000002e14,1.6189861131363885e13,3.566690524145894e14
3.486000000000002e14,1.66177373650998e13,3.602238387693466e14
3.5192000000000025e14,1.70519185930285e13,3.637820514596118e14
3.5524000000000025e14,1.7492419700633814e13,3.673437161127206e14
3.5856000000000025e14,1.793925521747114e13,3.709088580266721e14
3.6188000000000025e14,1.8392439329614293e13,3.744775021779335e14
3.6520000000000025e14,1.8851985891482367e13,3.7804967322880994e14
3.6852000000000025e14,1.9317908437081324e13,3.816253955344653e14
3.7184000000000025e14,1.979022019071491e13,3.852046931495992e14
3.7516000000000025e14,2.0268934077182574e13,3.88787589834831e14
3.7848000000000025e14,2.0754062731515574e13,3.9237410906278394e14
3.8180000000000025e14,2.1245618508265297e13,3.9596427402394275e14
3.8512000000000025e14,2.174361349038497e13,3.995581076322492e14
3.8844000000000025e14,2.2248059497714875e13,4.031556325304969e14
3.9176000000000025e14,2.275896809510736e13,4.0675687109552525e14
3.9508000000000025e14,2.3276350600205027e13,4.103618454432206e14
3.9840000000000025e14,2.3800218090891293e13,4.1397057743334756e14
4.0172000000000025e14,2.433058141244034e13,4.175830886742194e14
4.0504000000000025e14,2.486745118436227e13,4.211994005272178e14
4.0836000000000025e14,2.541083780698847e13,4.2481953411116925e14
4.1168000000000025e14,2.5960751467784547e13,4.2844351030659e14
4.1500000000000025e14,2.6517202147419957e13,4.320713497598035e14
4.1832000000000025e14,2.7080199625599586e13,4.3570307288694075e14
4.216400000000003e14,2.7649753486673367e13,4.393386998778303e14
4.249600000000003e14,2.822587312503432e13,4.4297825069977794e14
4.282800000000003e14,2.8808567750305562e13,4.4662174510124794e14
4.316000000000003e14,2.9397846392347035e13,4.502692026154503e14
4.349200000000003e14,2.9993717906067336e13,4.539206425638322e14
4.382400000000003e14,3.059619097606437e13,4.5757608405948306e14
4.415600000000003e14,3.1205274121098555e13,4.6123554601045856e14
4.448800000000003e14,3.1820975698403918e13,4.6489904712302606e14
4.482000000000003e14,3.244330390784787e13,4.685666059048244e14
4.515200000000003e14,3.3072266795943812e13,4.722382406679603e14
4.548400000000003e14,3.370787225972507e13,4.759139695320283e14
4.581600000000003e14,3.435012805048284e13,4.7959381042706706e14
4.614800000000003e14,3.4999041777378008e13,4.832777810964413e14
4.648000000000003e14,3.565462091093004e13,4.869658990996687e14
4.681200000000003e14,3.631687278638613e13,4.9065818181518856e14
4.714400000000003e14,3.698580460697874e13,4.9435464644305706e14
4.747600000000003e14,3.766142344708083e13,4.980553100075985e14
4.780800000000003e14,3.8343736255243734e13,5.017601893600002e14
4.814000000000003e14,3.903274985715051e13,5.054693011808443e14
4.847200000000003e14,3.972847095846496e13,5.091826619826001e14
4.880400000000003e14,4.043090614759004e13,5.129002881120563e14
4.913600000000004e14,4.114006189834198e13,5.16622195752711e14
4.946800000000004e14,4.1855944572535336e13,5.2034840092711e14
4.980000000000004e14,4.257856042248796e13,5.24078919499138e14
5.013200000000004e14,4.330791559345047e13,5.278137671762768e14
5.046400000000004e14,4.404401612595627e13,5.315529595118009e14
5.079600000000004e14,4.478686795810374e13,5.352965119069436e14
5.112800000000004e14,4.553647692776354e13,5.3904443961302225e14
5.146000000000004e14,4.6292848774724164e13,5.4279675773351525e14
5.179200000000004e14,4.70559891427696e13,5.4655348122610844e14
5.212400000000004e14,4.7825903581696375e13,5.5031462490469775e14
5.245600000000004e14,4.860259754926976e13,5.540802034413574e14
5.278800000000004e14,4.9386076413123695e13,5.5785023136826775e14
5.312000000000004e14,5.017634545260347e13,5.616247230796163e14
5.345200000000004e14,5.097340986055625e13,5.654036928334559e14
5.378400000000004e14,5.177727474507075e13,5.691871547535304e14
5.411600000000004e14,5.2587945131163414e13,5.729751228310746e14
5.444800000000004e14,5.340542596242069e13,5.767676109265696e14
5.478000000000004e14,5.42297221025934e13,5.805646327714821e14
5.511200000000004e14,5.506083833714567e13,5.84366201969958e14
5.544400000000004e14,5.589877937476244e13,5.881723320004945e14
5.577600000000004e14,5.665628751543001e13,5.920102467525756e14
