baryon_density,pressure/c2,energy_density/c2
1.66e14,2.06528253e12,1.685881596e14
1.826e14,2.74615146e12,1.856844741e14
1.992e14,3.54497402e12,2.02848418e14
2.158e14,4.46175021e12,2.20093915e14
2.324e14,5.47101955e12,2.37399085e14
2.49e14,6.59028612e12,2.54783819e14
2.656e14,7.82770523e12,2.72248117e14
2.822e14,9.18904527e12,2.89791979e14
2.988e14,1.067908008e13,3.07415405e14
3.154e14,1.230198677e13,3.25138286e14
3.32e14,1.406194245e13,3.42940731e14
3.486e14,1.596212968e13,3.60842631e14
3.652e14,1.800692448e13,3.78824095e14
3.818e14,2.01993105e13,3.96924905e14
3.984e14,2.25424703e13,4.15105279e14
4.15e14,2.50407799e13,4.33385108e14
4.316e14,2.76962284e13,4.51784283e14
4.59156e14,3.24481883e13,4.82456205e14
4.75092e14,3.39439915e13,5.00497342e14
4.94348e14,3.49842908e13,5.22158641e14
5.13272e14,3.60663612e13,5.43481793e14
5.31864e14,3.71882136e13,5.64446907e14
5.50124e14,3.8349848e13,5.85093765e14
5.68052e14,3.95492753e13,6.05422367e14
5.85648e14,4.07884846e13,6.25412822e14
6.02912e14,4.20634977e13,6.45104912e14
6.19844e14,4.33763037e13,6.64518528e14
6.3661e14,4.47249135e13,6.83613888e14
6.53044e14,4.61093271e13,7.02450665e14
6.69146e14,4.75275554e13,7.21008968e14
6.85082e14,4.89815875e13,7.39328579e14
7.08654e14,5.12252923e13,7.66320666e14
7.31562e14,5.35445829e13,7.92775696e14
7.53972e14,5.59354811e13,8.18753342e14
7.75884e14,5.83979869e13,8.44233713e14
7.97298e14,6.09301112e13,8.69296373e14
8.1838e14,6.3531854e13,8.9390154e14
8.3913e14,6.62012262e13,9.18128778e14
8.59382e14,6.89362387e13,9.41958196e14
8.79302e14,7.17349024e13,9.65429576e14
8.9889e14,7.45972173e13,9.88542918e14
9.18146e14,7.75231834e13,1.011318113e15
9.3707e14,8.05088225e13,1.033794943e15
9.55662e14,8.35561237e13,1.055953517e15
9.73922e14,8.66630979e13,1.077813726e15
9.92016e14,8.9827756e13,1.099395461e15
1.009612e15,9.3050098e13,1.120678831e15
1.027042e15,9.63301239e13,1.141643945e15
1.044306e15,9.96638555e13,1.162370367e15
1.061238e15,1.03055271e14,1.18291777e15
1.078004e15,1.064984031e14,1.203286154e15
1.094604e15,1.0999723e14,1.223475519e15
1.111038e15,1.135477735e14,1.243525647e15
1.127306e15,1.171520227e14,1.263396756e15
1.143408e15,1.208079885e14,1.283148519e15
1.159344e15,1.245136818e14,1.302741154e15
1.180426e15,1.295381484e14,1.328679018e15
1.201176e15,1.346501354e14,1.354398081e15
1.22176e15,1.398496428e14,1.379898343e15
1.242012e15,1.451386597e14,1.405199695e15
1.262098e15,1.50515197e14,1.430341919e15
1.282018e15,1.559752765e14,1.455305124e15
1.301772e15,1.615228764e14,1.480109201e15
1.321194e15,1.671520294e14,1.504774041e15
1.340616e15,1.728667137e14,1.529279753e15
1.359706e15,1.786629511e14,1.553666119e15
1.378796e15,1.845427307e14,1.57795303e15
1.39772e15,1.905020743e14,1.602100704e15
1.416312e15,1.96542971e14,1.626168814e15
1.434904e15,2.02669399e14,1.650117578e15
1.453496e15,2.088555e14,1.673986778e15
1.471756e15,2.15141056e14,1.697776414e15
1.490016e15,2.21506176e14,1.721506377e15
1.50811e15,2.27930969e14,1.745156776e15
1.526038e15,2.34455217e14,1.768747502e15
1.543966e15,2.41039138e14,1.792278555e15
1.561728e15,2.47702623e14,1.815769826e15
1.57949e15,2.54445672e14,1.839221315e15
1.597086e15,2.61268285e14,1.862633022e15
1.614682e15,2.68170462e14,1.886004947e15
1.632112e15,2.75132312e14,1.909356981e15
1.649542e15,2.82173726e14,1.932669233e15
1.666972e15,2.89294704e14,1.955981485e15
1.684236e15,2.96495246e14,1.979273846e15
1.701334e15,3.03755461e14,2.00262588e15
1.718598e15,3.1109524e14,2.02589835e15
1.735696e15,3.18514583e14,2.04917082e15
1.752628e15,3.25993599e14,2.07244329e15
1.769726e15,3.33552179e14,2.09571576e15
1.786658e15,3.41190323e14,2.11898823e15
1.80359e15,3.48908031e14,2.14245961e15
1.820356e15,3.56685412e14,2.16573208e15
1.837288e15,3.64542357e14,2.18920346e15
1.854054e15,3.72458975e14,2.21247593e15
1.87082e15,3.80455157e14,2.23594731e15
1.887586e15,3.88511012e14,2.25941869e15
1.904352e15,3.96666322e14,2.28289007e15
1.921118e15,4.04881305e14,2.30656036e15
1.937718e15,4.13155961e14,2.33003174e15
1.954484e15,4.21510181e14,2.35370203e15
1.971084e15,4.29943965e14,2.37737232e15
1.98785e15,4.38437422e14,2.40124152e15
2.00445e15,4.47010443e14,2.42491181e15
2.021382e15,4.57811256e14,2.44937774e15
2.038314e15,4.68691633e14,2.47364476e15
2.05508e15,4.79691356e14,2.49811069e15
2.072012e15,4.90750752e14,2.52257662e15
2.088944e15,5.01929494e14,2.54724146e15
2.105876e15,5.13167909e14,2.5719063e15
2.122642e15,5.2452567e14,2.59677005e15
2.139574e15,5.35962995e14,2.62143489e15
2.15634e15,5.47479884e14,2.64649755e15
2.173272e15,5.59096228e14,2.67156021e15
2.190204e15,5.70812027e14,2.69662287e15
2.20697e15,5.8260739e14,2.72188444e15
2.223902e15,5.94502208e14,2.74734492e15
2.241e15,6.0647659e14,2.7728054e15
2.258098e15,6.18550427e14,2.7986637e15
2.275196e15,6.30723719e14,2.824522e15
2.292294e15,6.42976575e14,2.85057921e15
2.309392e15,6.55308995e14,2.87683533e15
2.326656e15,6.67760761e14,2.90309145e15
2.343754e15,6.80292091e14,2.92954648e15
2.361018e15,6.92922876e14,2.95620042e15
2.378282e15,7.05633225e14,2.98305327e15
2.395712e15,7.18443029e14,3.00990612e15
2.412976e15,7.31352288e14,3.03695788e15
2.430406e15,7.44341111e14,3.06420855e15
2.447836e15,7.57429389e14,3.09165813e15
2.465432e15,7.70617122e14,3.11910771e15
2.482862e15,7.83884419e14,3.1467562e15
2.500458e15,7.97251171e14,3.1746036e15
2.518054e15,8.10717378e14,3.20264991e15
2.53565e15,8.2428304e14,3.23069622e15
2.553412e15,8.37948157e14,3.25914035e15
2.571008e15,8.51692838e14,3.28758448e15
