baryon_density,pressure/c2,energy_density/c2
13.1539389337923,3.3629524760203463e-7,13.1539385974971
41.5964072335506,2.1443194092501656e-6,41.596407944503
131.539389337923,0.0000136728239892592,131.539402900331
415.964072335505,0.00008718202849576133,415.964187366207
1315.39389337923,0.0005558987739918645,1315.39471714112
4159.64072335506,0.0035445773889131605,4159.64626143521
13153.9389337923,0.02260128903644299,13153.9751491694
41596.4072335505,0.1441126007592863,41596.6410089335
131539.389337923,0.9189051856342345,131540.888989075
415964.072335506,5.859215195178354,415973.663113957
1.04482098850688e6,25.791228299322874,1.04486325851251e6
2.62454050811663e6,108.53901296803046,2.62472478464344e6
6.59263838374128e6,435.1574369225701,6.59342141914087e6
8.29897122615874e6,585.1426644785979,8.30008727028093e6
1.65562761945507e7,1596.6528304369426,1.65594494101982e7
3.30403402223709e7,4264.787664853519,3.30492289674181e7
6.59368003592957e7,11193.2595638994,6.59613043862764e7
1.31541481699142e8,28973.407459636222,1.31607982634955e8
2.62448334453775e8,74280.51774213956,2.62626396527379e8
3.30395122897774e8,97223.36189796518,3.30641238650719e8
5.23729494468915e8,181250.69413113443,5.24196707777672e8
8.29890573744293e8,337021.70197864104,8.30774276246451e8
1.04490125809259e9,459413.20814453904,1.04611566060025e9
1.21134757942915e9,560330.5682286023,1.21283618464994e9
1.60351210326655e9,763277.9384527822,1.60569366850816e9
2.54157620690137e9,1.4152908713002026e6,2.54563730682753e9
4.1593401880666e9,2.621403532062325e6,4.16720075909265e9
6.5925469041897e9,4.853379544505884e6,6.60707626783011e9
8.01327531498971e9,6.299824617375588e6,8.03212579515561e9
1.0088422327716e10,8.569630731724968e6,1.0114053433425e10
1.31575827204578e10,1.1660572587441921e7,1.31940439271433e10
1.65618799239146e10,1.5855263298764063e7,1.66112859776052e10
2.08510998657476e10,2.1563158086319126e7,2.09180804247993e10
2.52558276119228e10,2.7849630903022066e7,2.53421273076634e10
3.30409617607769e10,3.787460790806517e7,3.31638452472429e10
4.15927706015499e10,5.149344459416146e7,4.17588672023429e10
5.02045858934526e10,6.619155183462977e7,5.04171450881455e10
6.59267278794846e10,9.000226303417718e7,6.62299501485532e10
8.30094960620018e10,1.2239150616589803e8,8.3418430786955e10
1.02109192837454e11,1.6133425812777466e8,1.02644500668061e11
1.08653693529064e11,1.6634118338001594e8,1.09233809328053e11
1.40858202889247e11,2.2620175639570063e8,1.41667600655921e11
1.69240235729648e11,2.8895521955712473e8,1.70264171719397e11
1.83457945459511e11,3.217783962107065e8,1.845935116553e11
2.08470135186898e11,3.6606186844164044e8,2.09807281680523e11
2.71363452079032e11,4.9768837007278347e8,2.73232410518338e11
3.30407027116395e11,6.471172726007844e8,3.32805937249056e11
4.15970909178822e11,8.387156122532176e8,4.19181422206428e11
4.26970873079007e11,8.684233687498492e8,4.30288853002744e11
4.30452878780138e11,8.778808942263049e8,4.33805037835639e11
4.49217935771889e11,9.292853268159821e8,4.5275560001237e11
4.78981114398216e11,1.012289020997582e9,4.82817419943975e11
4.94413580492294e11,1.0560161682004893e9,4.98406800406521e11
