baryon_density,pressure,energy_density
1.66e13,1.2023461426018623e10,1.679094094427061e13
1.992e13,1.3774322704597347e10,2.015170199468679e13
2.324e13,1.5363926558557293e10,2.351274176249034e13
2.656e13,1.692498829615656e10,2.6874005780690203e13
2.9880000000000004e13,1.8603013299593277e10,3.023547090764659e13
3.3200000000000008e13,2.0550746116037548e10,3.359713589057603e13
3.652000000000001e13,2.2924739257807835e10,3.695901529650812e13
3.9840000000000016e13,2.5883145694826237e10,4.032113541354555e13
4.3160000000000016e13,2.958425938956738e10,4.368353137561717e13
4.6480000000000016e13,3.4185533748136616e10,4.704624508350799e13
4.980000000000002e13,3.984291633431229e10,5.040932366420483e13
5.312000000000002e13,4.6710398745347595e10,5.37728183057751e13
5.644000000000002e13,5.493971620972007e10,5.713678336125227e13
5.976000000000003e13,6.46801532236441e10,6.050127564958717e13
6.308000000000003e13,7.607842537590181e10,6.386635390373317e13
6.640000000000004e13,8.927861646532643e10,6.7232078330519914e13
6.972000000000004e13,1.0442215606298196e11,7.05985102566462e13
7.304000000000005e13,1.2164782678209346e11,7.396571184190955e13
7.636000000000005e13,1.4109179338444885e11,7.733374584551328e13
7.968000000000005e13,1.628876478827205e11,8.070267543472264e13
8.300000000000005e13,1.871664662926631e11,8.407256402759597e13
8.632000000000005e13,2.1405687372588498e11,8.744347516335422e13
8.964000000000006e13,2.4368511531305145e11,9.081547239536477e13
9.296000000000006e13,2.7617513108109863e11,9.418861920268283e13
9.628000000000006e13,3.116486332794701e11,9.756297891698533e13
9.960000000000006e13,3.502251850485048e11,1.0093861466228064e14
1.0292000000000006e14,3.9202227956216925e11,1.0431558930530936e14
1.0624000000000008e14,4.3715541897726013e11,1.0769396541488608e14
1.0956000000000008e14,4.857381926668294e11,1.1107380522881311e14
1.1288000000000008e14,5.378823543691295e11,1.1445517062714056e14
1.1620000000000008e14,5.936978979297665e11,1.1783812311083994e14
1.1952000000000008e14,6.532931314394789e11,1.2122272378505862e14
1.228400000000001e14,7.167747495837024e11,1.2460903334626942e14
1.261600000000001e14,7.84247904103475e11,1.2799711207274066e14
1.294800000000001e14,8.558162722813451e11,1.3138701981785012e14
1.328000000000001e14,9.315821233909066e11,1.3477881600579752e14
1.361200000000001e14,1.0116463831046317e12,1.3817255962940258e14
1.394400000000001e14,1.0961086958182377e12,1.4156830924965472e14
1.427600000000001e14,1.1850674849276047e12,1.449661229967624e14
1.460800000000001e14,1.2786200110416511e12,1.4836605857249672e14
1.4940000000000012e14,1.3768624281824312e12,1.5176817325360528e14
1.5272000000000012e14,1.4798898379765173e12,1.5517252389616653e14
1.5604000000000012e14,1.5877963418867415e12,1.5857916694071238e14
1.5936000000000012e14,1.7006750915239683e12,1.6198815841800262e14
1.6268000000000012e14,1.8186183370633499e12,1.6539955395536616e14
1.6600000000000012e14,1.9417174738279456e12,1.6881340878346875e14
1.6932000000000012e14,2.070063087066817e12,1.7222977774347094e14
1.7264000000000012e14,2.203744994979585e12,1.7564871529447944e14
1.7596000000000012e14,2.342852290029858e12,1.7907027552123584e14
1.7928000000000012e14,2.487473378592029e12,1.82494512141993e14
1.8260000000000012e14,2.6376960189725337e12,1.8592147851651478e14
1.8592000000000016e14,2.793607357849725e12,1.893512276541972e14
1.8924000000000016e14,2.9552939651776196e12,1.9278381222221356e14
1.9256000000000016e14,3.122841867590792e12,1.9621928455371228e14
1.9588000000000016e14,3.2963365803457925e12,1.996576966560004e14
1.9920000000000016e14,3.475863137856074e12,2.030991002187049e14
2.0252000000000016e14,3.6615061228310215e12,2.065435466218932e14
2.0584000000000016e14,3.853349694083731e12,2.099910869441137e14
2.0916000000000012e14,4.0514280521127383e12,2.1344170881583806e14
2.1248000000000016e14,4.2527250237141074e12,2.1689150786414825e14
2.1580000000000016e14,4.4581381679504795e12,2.2034156008760678e14
2.1912000000000016e14,4.668450319875364e12,2.2379280005743934e14
2.2244000000000016e14,4.883991778980261e12,2.2724558716763906e14
2.2576000000000016e14,5.104979596881826e12,2.307001370858185e14
2.2908000000000016e14,5.331581174017514e12,2.341566025050019e14
2.3240000000000016e14,5.563937198001283e12,2.3761510223639694e14
2.3572000000000016e14,5.802172220762145e12,2.4107573460993844e14
2.3904000000000016e14,6.04640028366401e12,2.4453858459327188e14
2.4236000000000016e14,6.296728208138705e12,2.480037279517344e14
2.456800000000002e14,6.553257657654206e12,2.514712338522119e14
2.490000000000002e14,6.816086498927974e12,2.5494116658020953e14
2.523200000000002e14,7.08530973807682e12,2.584135867195783e14
2.556400000000002e14,7.361020186028741e12,2.6188855199033897e14
2.589600000000002e14,7.643308944470201e12,2.65366117860221e14
2.622800000000002e14,7.932265768816826e12,2.688463380013764e14
2.656000000000002e14,8.227979344507563e12,2.7232926463821684e14
2.689200000000002e14,8.530537500698025e12,2.758149488168127e14
2.722400000000002e14,8.840027377780258e12,2.7930344061661888e14
2.755600000000002e14,9.156535560197111e12,2.827947893190276e14
2.788800000000002e14,9.48014818272489e12,2.8628904354305494e14
2.822000000000002e14,9.810951016175666e12,2.8978625135569994e14
2.855200000000002e14,1.0149029536900725e13,2.9328646036246844e14
2.888400000000002e14,1.0494468983386744e13,2.967897177822513e14
2.921600000000002e14,1.0847354402452111e13,3.002960705096778e14
2.954800000000002e14,1.1207770686955127e13,3.03805565167376e14
2.9880000000000025e14,1.1575802606518945e13,3.073182481500234e14
3.0212000000000025e14,1.1951534832445576e13,3.108341656616527e14
3.0544000000000025e14,1.233505195774902e13,3.143533637473909e14
3.0876000000000025e14,1.2726438513061012e13,3.178758883205571e14
3.1208000000000025e14,1.3125778979004963e13,3.214017851858795e14
3.1540000000000025e14,1.353315779552886e13,3.2493110005942894e14
3.1872000000000025e14,1.394865936860598e13,3.284638785857759e14
3.2204000000000025e14,1.43723680746271e13,3.320001663527772e14
