baryon_density,pressure/c2,energy_density/c2
6.64e13,8.765901179634341e10,6.7172899209117695e13
6.972000000000001e13,1.0628558565796971e11,7.053637509044014e13
7.304e13,1.2741294401505402e11,7.390079641460233e13
7.636000000000002e13,1.511639550320389e11,7.726623670011092e13
7.968000000000002e13,1.7765650404373587e11,8.063276830585247e13
8.300000000000002e13,2.070037690138887e11,8.400046237403525e13
8.632000000000002e13,2.393144832010812e11,8.736938879308616e13
8.964000000000002e13,2.7469318493629156e11,9.073961617611983e13
9.296000000000003e13,3.132404546375309e11,9.411121185163e13
9.628000000000003e13,3.5505313942557043e11,9.748424186376902e13
9.960000000000003e13,4.0022456580375824e11,1.008587709801421e14
1.0292000000000003e14,4.4884474095428015e11,1.0423486270546656e14
1.0624000000000003e14,5.0100054322846765e11,1.076125792997803e14
1.0956000000000003e14,5.567759024113458e11,1.1099198180018994e14
1.1288000000000003e14,6.16251970372814e11,1.143731300452856e14
1.1620000000000003e14,6.795072826610132e11,1.1775608270158681e14
1.1952000000000003e14,7.466179116120332e11,1.2114089729144403e14
1.2284000000000005e14,8.176576114866371e11,1.2452763022200175e14
1.2616000000000005e14,8.926979561623712e11,1.2791633681483444e14
1.2948000000000005e14,9.718084698321538e11,1.3130707133601495e14
1.3280000000000005e14,1.0550567511795742e12,1.3469988702634544e14
1.3612000000000005e14,1.1425085914313682e12,1.3809483613161011e14
1.3944000000000006e14,1.2342280866941497e12,1.4149196993267603e14
1.4276000000000006e14,1.330277744934286e12,1.448913387753372e14
1.4608000000000006e14,1.4307185879488354e12,1.4829299209982328e14
1.4940000000000006e14,1.5356102486424119e12,1.5169697846987356e14
1.5272000000000006e14,1.6450110639078962e12,1.551033456013529e14
1.5604000000000006e14,1.7589781633978499e12,1.5851214039034128e14
1.5936000000000006e14,1.8775675544313855e12,1.6192340894069328e14
1.6268000000000006e14,2.0008342032865203e12,1.6533719659101903e14
1.660000000000001e14,2.1288321131014675e12,1.687535479410961e14
