baryon_density,pressure/c2,energy_density/c2
3.979904e+07,3.981072e+07,5.566427e+03
4.465454e+07,4.466836e+07,6.530856e+03
5.010238e+07,5.011872e+07,7.658793e+03
5.621482e+07,5.623413e+07,8.977432e+03
6.307293e+07,6.309573e+07,1.051841e+04
7.076765e+07,7.079458e+07,1.231854e+04
7.940105e+07,7.943282e+07,1.442062e+04
8.908761e+07,8.912509e+07,1.687443e+04
9.995581e+07,1.000000e+08,1.973780e+04
1.121498e+08,1.122018e+08,2.307797e+04
1.258312e+08,1.258925e+08,2.697304e+04
1.411815e+08,1.412538e+08,3.151374e+04
1.584043e+08,1.584893e+08,3.680544e+04
1.777278e+08,1.778279e+08,4.297048e+04
1.994085e+08,1.995262e+08,5.015089e+04
2.237336e+08,2.238721e+08,5.851152e+04
2.510258e+08,2.511886e+08,6.824366e+04
2.816469e+08,2.818383e+08,7.956927e+04
3.160029e+08,3.162278e+08,9.274584e+04
3.545492e+08,3.548134e+08,1.080720e+05
3.977969e+08,3.981072e+08,1.258942e+05
4.463193e+08,4.466836e+08,1.466139e+05
5.007596e+08,5.011872e+08,1.706969e+05
5.618394e+08,5.623413e+08,1.986829e+05
6.303684e+08,6.309573e+08,2.311976e+05
7.072549e+08,7.079458e+08,2.689661e+05
7.935180e+08,7.943282e+08,3.128287e+05
8.903009e+08,8.912509e+08,3.637591e+05
9.988862e+08,1.000000e+09,4.228855e+05
1.120713e+09,1.122018e+09,4.915147e+05
1.257396e+09,1.258925e+09,5.711607e+05
1.410745e+09,1.412538e+09,6.635772e+05
1.582794e+09,1.584893e+09,7.707952e+05
1.775821e+09,1.778279e+09,8.951671e+05
1.992383e+09,1.995262e+09,1.039417e+06
2.235351e+09,2.238721e+09,1.206699e+06
2.507942e+09,2.511886e+09,1.400666e+06
2.813768e+09,2.818383e+09,1.625548e+06
3.156878e+09,3.162278e+09,1.886241e+06
3.541818e+09,3.548134e+09,2.188413e+06
3.973687e+09,3.981072e+09,2.538629e+06
4.458202e+09,4.466836e+09,2.944484e+06
5.001780e+09,5.011872e+09,3.414773e+06
5.611620e+09,5.623413e+09,3.959674e+06
6.295796e+09,6.309573e+09,4.590967e+06
7.063366e+09,7.079458e+09,5.322286e+06
7.924492e+09,7.943282e+09,6.169404e+06
8.890573e+09,8.912509e+09,7.150572e+06
9.974399e+09,1.000000e+10,8.286902e+06
1.119031e+10,1.122018e+10,9.602811e+06
1.255441e+10,1.258925e+10,1.112653e+07
1.408475e+10,1.412538e+10,1.289070e+07
1.580157e+10,1.584893e+10,1.493301e+07
1.772760e+10,1.778279e+10,1.729703e+07
1.988832e+10,1.995262e+10,2.003300e+07
2.231233e+10,2.238721e+10,2.319890e+07
2.503168e+10,2.511886e+10,2.686154e+07
2.808237e+10,2.818383e+10,3.109780e+07
3.150474e+10,3.162278e+10,3.599606e+07
3.534407e+10,3.548134e+10,4.165778e+07
3.965114e+10,3.981072e+10,4.819910e+07
4.448292e+10,4.466836e+10,5.575274e+07
4.990332e+10,5.011872e+10,6.446988e+07
5.598403e+10,5.623413e+10,7.452210e+07
6.280546e+10,6.309573e+10,8.610330e+07
7.045783e+10,7.079458e+10,9.943155e+07
7.904234e+10,7.943282e+10,1.147506e+08
8.867251e+10,8.912509e+10,1.323311e+08
9.947568e+10,1.000000e+11,1.524714e+08
1.115947e+11,1.122018e+11,1.754981e+08
1.251899e+11,1.258925e+11,2.017660e+08
1.404409e+11,1.412538e+11,2.316599e+08
1.575495e+11,1.584893e+11,2.655994e+08
1.767419e+11,1.778279e+11,3.040514e+08
1.982719e+11,1.995262e+11,3.475612e+08
