baryon_density,energy_densityc2,pressurec2
3.979906e+07,3.981072e+07,5.560098e+03
4.465457e+07,4.466836e+07,6.523693e+03
5.010241e+07,5.011872e+07,7.650704e+03
5.621486e+07,5.623413e+07,8.968315e+03
6.307297e+07,6.309573e+07,1.050816e+04
7.076770e+07,7.079458e+07,1.230704e+04
7.940110e+07,7.943282e+07,1.440774e+04
8.908768e+07,8.912509e+07,1.686003e+04
9.995589e+07,1.000000e+08,1.972175e+04
1.121499e+08,1.122018e+08,2.306013e+04
1.258313e+08,1.258925e+08,2.695324e+04
1.411816e+08,1.412538e+08,3.149183e+04
1.584044e+08,1.584893e+08,3.678126e+04
1.777280e+08,1.778279e+08,4.294386e+04
1.994087e+08,1.995262e+08,5.012165e+04
2.237338e+08,2.238721e+08,5.847949e+04
2.510260e+08,2.511886e+08,6.820868e+04
2.816472e+08,2.818383e+08,7.953116e+04
3.160032e+08,3.162278e+08,9.270445e+04
3.545495e+08,3.548134e+08,1.080272e+05
3.977973e+08,3.981072e+08,1.258457e+05
4.463197e+08,4.466836e+08,1.465617e+05
5.007601e+08,5.011872e+08,1.706408e+05
5.618400e+08,5.623413e+08,1.986227e+05
6.303691e+08,6.309573e+08,2.311331e+05
7.072557e+08,7.079458e+08,2.688972e+05
7.935188e+08,7.943282e+08,3.127550e+05
8.903018e+08,8.912509e+08,3.636803e+05
9.988872e+08,1.000000e+09,4.228010e+05
1.120714e+09,1.122018e+09,4.914237e+05
1.257397e+09,1.258925e+09,5.710622e+05
1.410747e+09,1.412538e+09,6.634695e+05
1.582795e+09,1.584893e+09,7.706761e+05
1.775823e+09,1.778279e+09,8.950333e+05
1.992386e+09,1.995262e+09,1.039264e+06
2.235353e+09,2.238721e+09,1.206521e+06
2.507945e+09,2.511886e+09,1.400455e+06
2.813770e+09,2.818383e+09,1.625291e+06
3.156881e+09,3.162278e+09,1.885923e+06
3.541822e+09,3.548134e+09,2.188014e+06
3.973691e+09,3.981072e+09,2.538120e+06
4.458207e+09,4.466836e+09,2.943830e+06
5.001786e+09,5.011872e+09,3.413924e+06
5.611626e+09,5.623413e+09,3.958568e+06
6.295803e+09,6.309573e+09,4.589521e+06
7.063374e+09,7.079458e+09,5.320392e+06
7.924501e+09,7.943282e+09,6.166923e+06
8.890584e+09,8.912509e+09,7.147326e+06
9.974412e+09,1.000000e+10,8.282662e+06
1.119033e+10,1.122018e+10,9.597287e+06
1.255443e+10,1.258925e+10,1.111935e+07
1.408477e+10,1.412538e+10,1.288140e+07
1.580160e+10,1.584893e+10,1.492101e+07
1.772763e+10,1.778279e+10,1.728160e+07
1.988836e+10,1.995262e+10,2.001324e+07
2.231237e+10,2.238721e+10,2.317371e+07
2.503174e+10,2.511886e+10,2.682957e+07
2.808244e+10,2.818383e+10,3.105743e+07
3.150482e+10,3.162278e+10,3.594537e+07
3.534417e+10,3.548134e+10,4.159450e+07
3.965126e+10,3.981072e+10,4.812064e+07
4.448307e+10,4.466836e+10,5.565618e+07
4.990350e+10,5.011872e+10,6.435206e+07
5.598424e+10,5.623413e+10,7.437973e+07
6.280573e+10,6.309573e+10,8.593324e+07
