baryon_density,energy_densityc2,pressurec2
1.000000e+01,1.000000e+01,9.352809e-12
1.122018e+01,1.122018e+01,1.521121e-11
1.258925e+01,1.258925e+01,2.455316e-11
1.412538e+01,1.412538e+01,3.934184e-11
1.584893e+01,1.584893e+01,6.258721e-11
1.778279e+01,1.778279e+01,9.887285e-11
1.995262e+01,1.995262e+01,1.551329e-10
2.238721e+01,2.238721e+01,2.417900e-10
2.511886e+01,2.511886e+01,3.744129e-10
2.818383e+01,2.818383e+01,5.761153e-10
3.162278e+01,3.162278e+01,8.810084e-10
3.548134e+01,3.548134e+01,1.339143e-09
3.981072e+01,3.981072e+01,2.023543e-09
4.466836e+01,4.466836e+01,3.040160e-09
5.011872e+01,5.011872e+01,4.541905e-09
5.623413e+01,5.623413e+01,6.748294e-09
6.309573e+01,6.309573e+01,9.972856e-09
7.079458e+01,7.079458e+01,1.466116e-08
7.943282e+01,7.943282e+01,2.144336e-08
8.912509e+01,8.912509e+01,3.120640e-08
1.000000e+02,1.000000e+02,4.519287e-08
1.122018e+02,1.122018e+02,6.513580e-08
1.258925e+02,1.258925e+02,9.344149e-08
1.412538e+02,1.412538e+02,1.334367e-07
1.584893e+02,1.584893e+02,1.897013e-07
1.778279e+02,1.778279e+02,2.685147e-07
1.995262e+02,1.995262e+02,3.784514e-07
2.238721e+02,2.238721e+02,5.311744e-07
2.511886e+02,2.511886e+02,7.424869e-07
2.818383e+02,2.818383e+02,1.033722e-06
3.162278e+02,3.162278e+02,1.433571e-06
3.548134e+02,3.548134e+02,1.980487e-06
3.981072e+02,3.981072e+02,2.725825e-06
4.466836e+02,4.466836e+02,3.737932e-06
5.011872e+02,5.011872e+02,5.107477e-06
5.623413e+02,5.623413e+02,6.954340e-06
6.309573e+02,6.309573e+02,9.436524e-06
7.079458e+02,7.079458e+02,1.276163e-05
7.943282e+02,7.943282e+02,1.720161e-05
8.912509e+02,8.912509e+02,2.311162e-05
9.999999e+02,1.000000e+03,3.095417e-05
1.122018e+03,1.122018e+03,4.132985e-05
1.258925e+03,1.258925e+03,5.501641e-05
1.412537e+03,1.412538e+03,7.301822e-05
1.584893e+03,1.584893e+03,9.662898e-05
1.778279e+03,1.778279e+03,1.275106e-04
1.995262e+03,1.995262e+03,1.677928e-04
2.238721e+03,2.238721e+03,2.201977e-04
2.511886e+03,2.511886e+03,2.881967e-04
2.818382e+03,2.818383e+03,3.762055e-04
3.162277e+03,3.162278e+03,4.898286e-04
3.548133e+03,3.548134e+03,6.361631e-04
3.981071e+03,3.981072e+03,8.241760e-04
4.466835e+03,4.466836e+03,1.065173e-03
5.011871e+03,5.011872e+03,1.373376e-03
5.623411e+03,5.623413e+03,1.766642e-03
6.309571e+03,6.309573e+03,2.267346e-03
7.079455e+03,7.079458e+03,2.903462e-03
7.943279e+03,7.943282e+03,3.709907e-03
8.912505e+03,8.912509e+03,4.730172e-03
9.999994e+03,1.000000e+04,6.018334e-03
1.122018e+04,1.122018e+04,7.641504e-03
1.258925e+04,1.258925e+04,9.682827e-03
1.412536e+04,1.412538e+04,1.224513e-02
1.584892e+04,1.584893e+04,1.545536e-02
1.778278e+04,1.778279e+04,1.947000e-02
1.995260e+04,1.995262e+04,2.448161e-02
2.238718e+04,2.238721e+04,3.072675e-02
2.511883e+04,2.511886e+04,3.849564e-02
2.818379e+04,2.818383e+04,4.814372e-02
3.162272e+04,3.162278e+04,6.010571e-02
3.548127e+04,3.548134e+04,7.491251e-02
3.981063e+04,3.981072e+04,9.321152e-02
4.466826e+04,4.466836e+04,1.157912e-01
5.011859e+04,5.011872e+04,1.436102e-01
5.623397e+04,5.623413e+04,1.778331e-01
6.309553e+04,6.309573e+04,2.198722e-01
7.079433e+04,7.079458e+04,2.714385e-01
7.943251e+04,7.943282e+04,3.346019e-01
8.912470e+04,8.912509e+04,4.118637e-01
9.999951e+04,1.000000e+05,5.062428e-01
1.122012e+05,1.122018e+05,6.213785e-01
1.258918e+05,1.258925e+05,7.616531e-01
1.412528e+05,1.412538e+05,9.323378e-01
1.584881e+05,1.584893e+05,1.139766e+00
1.778265e+05,1.778279e+05,1.391537e+00
1.995244e+05,1.995262e+05,1.696767e+00
2.238699e+05,2.238721e+05,2.066369e+00
2.511859e+05,2.511886e+05,2.513404e+00
2.818349e+05,2.818383e+05,3.053484e+00
3.162235e+05,3.162278e+05,3.705254e+00
3.548081e+05,3.548134e+05,4.490957e+00
3.981007e+05,3.981072e+05,5.437110e+00
4.466756e+05,4.466836e+05,6.575292e+00
5.011774e+05,5.011872e+05,7.943080e+00
5.623292e+05,5.623413e+05,9.585150e+00
6.309425e+05,6.309573e+05,1.155457e+01
7.079275e+05,7.079458e+05,1.391434e+01
7.943058e+05,7.943282e+05,1.673917e+01
8.912235e+05,8.912509e+05,2.011758e+01
9.999664e+05,1.000000e+06,2.415444e+01
1.121977e+06,1.122018e+06,2.897381e+01
1.258875e+06,1.258925e+06,3.472238e+01
1.412477e+06,1.412538e+06,4.157352e+01
1.584819e+06,1.584893e+06,4.973191e+01
1.778189e+06,1.778279e+06,5.943909e+01
1.995153e+06,1.995262e+06,7.097991e+01
2.238588e+06,2.238721e+06,8.469003e+01
2.511725e+06,2.511886e+06,1.009648e+02
2.818188e+06,2.818383e+06,1.202696e+02
3.162042e+06,3.162278e+06,1.431517e+02
3.547850e+06,3.548134e+06,1.702547e+02
3.980729e+06,3.981072e+06,2.023347e+02
4.466423e+06,4.466836e+06,2.402798e+02
5.011376e+06,5.011872e+06,2.851321e+02
5.622817e+06,5.623413e+06,3.381142e+02
6.308858e+06,6.309573e+06,4.006597e+02
7.078600e+06,7.079458e+06,4.744484e+02
7.942255e+06,7.943282e+06,5.614481e+02
8.911281e+06,8.912509e+06,6.639628e+02
9.998532e+06,1.000000e+07,7.846885e+02
1.121843e+07,1.122018e+07,9.267789e+02
1.258716e+07,1.258925e+07,1.093922e+03
1.412288e+07,1.412538e+07,1.290426e+03
1.584597e+07,1.584893e+07,1.521327e+03
1.777927e+07,1.778279e+07,1.792504e+03
1.994843e+07,1.995262e+07,2.110821e+03
2.238223e+07,2.238721e+07,2.484285e+03
2.511295e+07,2.511886e+07,2.922241e+03
