baryon_density,energy_densityc2,pressurec2
2.817681e+07,2.818383e+07,3.435581e+03
3.161446e+07,3.162278e+07,4.037003e+03
3.547149e+07,3.548134e+07,4.741305e+03
3.979906e+07,3.981072e+07,5.565724e+03
4.465456e+07,4.466836e+07,6.530334e+03
5.010241e+07,5.011872e+07,7.658504e+03
5.621486e+07,5.623413e+07,8.977433e+03
6.307296e+07,6.309573e+07,1.051877e+04
7.076770e+07,7.079458e+07,1.231932e+04
7.940110e+07,7.943282e+07,1.442190e+04
8.908767e+07,8.912509e+07,1.687628e+04
9.995588e+07,1.000000e+08,1.974031e+04
1.121498e+08,1.122018e+08,2.308121e+04
1.258313e+08,1.258925e+08,2.697709e+04
1.411816e+08,1.412538e+08,3.151868e+04
1.584044e+08,1.584893e+08,3.681133e+04
1.777280e+08,1.778279e+08,4.297737e+04
1.994086e+08,1.995262e+08,5.015881e+04
2.237338e+08,2.238721e+08,5.852049e+04
2.510260e+08,2.511886e+08,6.825368e+04
2.816471e+08,2.818383e+08,7.958031e+04
3.160031e+08,3.162278e+08,9.275785e+04
3.545494e+08,3.548134e+08,1.080849e+05
3.977971e+08,3.981072e+08,1.259079e+05
4.463195e+08,4.466836e+08,1.466284e+05
5.007597e+08,5.011872e+08,1.707121e+05
5.618396e+08,5.623413e+08,1.986989e+05
6.303686e+08,6.309573e+08,2.312145e+05
7.072550e+08,7.079458e+08,2.689845e+05
7.935180e+08,7.943282e+08,3.128493e+05
8.903008e+08,8.912509e+08,3.637832e+05
9.988860e+08,1.000000e+09,4.229152e+05
1.120713e+09,1.122018e+09,4.915532e+05
1.257395e+09,1.258925e+09,5.712125e+05
1.410745e+09,1.412538e+09,6.636488e+05
1.582793e+09,1.584893e+09,7.708958e+05
1.775819e+09,1.778279e+09,8.953091e+05
1.992382e+09,1.995262e+09,1.039617e+06
2.235349e+09,2.238721e+09,1.206980e+06
2.507939e+09,2.511886e+09,1.401058e+06
2.813764e+09,2.818383e+09,1.626090e+06
3.156874e+09,3.162278e+09,1.886983e+06
3.541813e+09,3.548134e+09,2.189419e+06
3.973680e+09,3.981072e+09,2.539981e+06
4.458194e+09,4.466836e+09,2.946284e+06
5.001771e+09,5.011872e+09,3.417149e+06
5.611609e+09,5.623413e+09,3.962783e+06
6.295783e+09,6.309573e+09,4.595000e+06
7.063351e+09,7.079458e+09,5.327473e+06
7.924474e+09,7.943282e+09,6.176019e+06
8.890554e+09,8.912509e+09,7.158939e+06
9.974377e+09,1.000000e+10,8.297393e+06
1.119029e+10,1.122018e+10,9.615849e+06
1.255439e+10,1.258925e+10,1.114258e+07
1.408472e+10,1.412538e+10,1.291026e+07
1.580154e+10,1.584893e+10,1.495661e+07
1.772757e+10,1.778279e+10,1.732515e+07
1.988829e+10,1.995262e+10,2.006607e+07
2.231229e+10,2.238721e+10,2.323719e+07
2.503165e+10,2.511886e+10,2.690505e+07
2.808234e+10,2.818383e+10,3.114616e+07
3.150472e+10,3.162278e+10,3.604829e+07
3.534406e+10,3.548134e+10,4.171204e+07
3.965115e+10,3.981072e+10,4.825243e+07
4.448296e+10,4.466836e+10,5.580067e+07
4.990339e+10,5.011872e+10,6.450605e+07
5.598414e+10,5.623413e+10,7.453792e+07
6.280563e+10,6.309573e+10,8.608773e+07
7.045808e+10,7.079458e+10,9.937117e+07
7.904268e+10,7.943282e+10,1.146303e+08
8.867296e+10,8.912509e+10,1.321361e+08
9.947628e+10,1.000000e+11,1.521909e+08
1.115955e+11,1.122018e+11,1.751325e+08
1.251909e+11,1.258925e+11,2.013395e+08
1.404422e+11,1.412538e+11,2.312410e+08
1.575511e+11,1.584893e+11,2.653337e+08
1.767438e+11,1.778279e+11,3.042114e+08
1.982742e+11,1.995262e+11,3.486152e+08
2.224270e+11,2.238721e+11,3.995101e+08
2.495215e+11,2.511886e+11,4.581745e+08
2.799160e+11,2.818383e+11,5.262126e+08
3.140126e+11,3.162278e+11,6.051639e+08
3.522620e+11,3.548134e+11,6.949787e+08
3.951702e+11,3.981072e+11,7.909356e+08
4.433046e+11,4.466836e+11,8.822676e+08
4.973018e+11,5.011872e+11,9.592701e+08
5.578760e+11,5.623413e+11,1.023148e+09
6.258284e+11,6.309573e+11,1.083301e+09
7.020577e+11,7.079458e+11,1.148347e+09
7.875724e+11,7.943282e+11,1.223183e+09
8.835035e+11,8.912509e+11,1.310460e+09
9.911201e+11,1.000000e+12,1.412228e+09
1.111846e+12,1.122018e+12,1.530769e+09
1.247278e+12,1.258925e+12,1.668916e+09
1.399207e+12,1.412538e+12,1.830178e+09
1.569645e+12,1.584893e+12,2.018832e+09
1.760844e+12,1.778279e+12,2.240029e+09
1.975336e+12,1.995262e+12,2.499940e+09
2.215958e+12,2.238721e+12,2.805921e+09
2.485892e+12,2.511886e+12,3.166705e+09
2.788709e+12,2.818383e+12,3.592605e+09
3.128416e+12,3.162278e+12,4.095732e+09
3.509506e+12,3.548134e+12,4.690245e+09
3.937020e+12,3.981072e+12,5.392604e+09
4.416611e+12,4.466836e+12,6.221865e+09
4.954621e+12,5.011872e+12,7.199993e+09
5.558166e+12,5.623413e+12,8.352188e+09
6.235225e+12,6.309573e+12,9.707239e+09
6.994747e+12,7.079458e+12,1.129787e+10
7.846773e+12,7.943282e+12,1.316108e+10
8.802562e+12,8.912509e+12,1.533849e+10
9.874743e+12,1.000000e+13,1.787656e+10
1.107748e+13,1.122018e+13,2.082690e+10
1.242666e+13,1.258925e+13,2.424636e+10
1.394009e+13,1.412538e+13,2.819718e+10
1.563777e+13,1.584893e+13,3.274694e+10
1.754209e+13,1.778279e+13,3.796867e+10
1.967820e+13,1.995262e+13,4.394091e+10
2.207426e+13,2.238721e+13,5.074814e+10
2.476191e+13,2.511886e+13,5.848181e+10
2.777658e+13,2.818383e+13,6.724253e+10
3.115804e+13,3.162278e+13,7.714411e+10
3.495089e+13,3.548134e+13,8.832083e+10
3.920514e+13,3.981072e+13,1.009393e+11
4.397690e+13,4.466836e+13,1.152175e+11
4.932909e+13,5.011872e+13,1.314533e+11
5.533228e+13,5.623413e+13,1.500661e+11
6.206559e+13,6.309573e+13,1.716535e+11
6.961773e+13,7.079458e+13,1.970615e+11
7.808810e+13,7.943282e+13,2.274471e+11
8.758802e+13,8.912509e+13,2.642630e+11
9.824203e+13,1.000000e+14,3.089558e+11
1.101893e+14,1.122018e+14,3.621505e+11
1.235849e+14,1.258925e+14,4.253647e+11
1.386015e+14,1.412538e+14,5.234075e+11
1.554302e+14,1.584893e+14,7.175867e+11
1.742819e+14,1.778279e+14,1.033409e+12
1.953880e+14,1.995262e+14,1.497931e+12
2.190000e+14,2.238721e+14,2.187470e+12
2.453890e+14,2.511886e+14,3.225943e+12
2.748437e+14,2.818383e+14,4.793973e+12
3.076670e+14,3.162278e+14,7.146018e+12
3.441710e+14,3.548134e+14,1.062928e+13
3.846701e+14,3.981072e+14,1.570198e+13
4.294729e+14,4.466836e+14,2.295001e+13
4.788721e+14,5.011872e+14,3.310193e+13
5.331340e+14,5.623413e+14,4.704342e+13
5.924881e+14,6.309573e+14,6.583282e+13
6.571179e+14,7.079458e+14,9.071918e+13
7.271548e+14,7.943282e+14,1.231640e+14
8.026751e+14,8.912509e+14,1.648670e+14
8.837027e+14,1.000000e+15,2.177961e+14
9.702161e+14,1.122018e+15,2.842203e+14
1.062160e+15,1.258925e+15,3.667469e+14
1.159461e+15,1.412538e+15,4.683603e+14
1.262046e+15,1.584893e+15,5.924644e+14
1.369853e+15,1.778279e+15,7.429275e+14
1.482857e+15,1.995262e+15,9.241318e+14
1.601072e+15,2.238721e+15,1.141026e+15
1.724562e+15,2.511886e+15,1.399183e+15
1.853448e+15,2.818383e+15,1.704872e+15
1.987903e+15,3.162278e+15,2.065125e+15
2.128151e+15,3.548134e+15,2.487834e+15
2.274464e+15,3.981072e+15,2.981849e+15
2.427150e+15,4.466836e+15,3.557099e+15
2.586551e+15,5.011872e+15,4.224737e+15
2.753033e+15,5.623413e+15,4.997310e+15
2.926984e+15,6.309573e+15,5.888958e+15
3.108803e+15,7.079458e+15,6.915658e+15
3.298902e+15,7.943282e+15,8.095501e+15
3.497697e+15,8.912509e+15,9.449034e+15
3.705612e+15,1.000000e+16,1.099966e+16
3.923072e+15,1.122018e+16,1.277408e+16
4.150507e+15,1.258925e+16,1.480290e+16
4.388351e+15,1.412538e+16,1.712122e+16
4.637040e+15,1.584893e+16,1.976946e+16
4.897018e+15,1.778279e+16,2.279423e+16
5.168733e+15,1.995262e+16,2.624939e+16
5.452644e+15,2.238721e+16,3.019736e+16
5.749219e+15,2.511886e+16,3.471056e+16
6.058939e+15,2.818383e+16,3.987321e+16
