r,P
5.039e+13,3.353e+31
1.009e+14,3.585e+32
1.518e+14,1.329e+33
2.031e+14,3.151e+33
2.549e+14,5.842e+33
3.072e+14,9.426e+33
3.601e+14,1.401e+34
4.136e+14,1.966e+34
4.678e+14,2.645e+34
5.228e+14,3.442e+34
5.787e+14,4.362e+34
6.356e+14,5.349e+34
6.942e+14,6.252e+34
7.537e+14,7.227e+34
8.140e+14,8.292e+34
8.752e+14,9.454e+34
9.374e+14,1.071e+35
1.000e+15,1.199e+35
1.064e+15,1.332e+35
1.129e+15,1.473e+35
1.195e+15,1.621e+35
1.261e+15,1.777e+35
1.328e+15,1.942e+35
1.396e+15,2.116e+35
1.465e+15,2.298e+35
1.535e+15,2.488e+35
1.605e+15,2.715e+35
1.677e+15,2.897e+35
1.749e+15,3.114e+35
1.822e+15,3.339e+35
1.896e+15,3.572e+35
1.971e+15,3.812e+35
2.047e+15,4.059e+35
2.124e+15,4.309e+35
2.201e+15,4.564e+35
2.279e+15,4.825e+35
2.358e+15,5.093e+35
2.438e+15,5.369e+35
2.519e+15,5.651e+35
2.601e+15,5.941e+35
