r,P
5.038e+13,2.458e+31
1.009e+14,3.597e+32
1.517e+14,1.380e+33
2.031e+14,3.308e+33
2.549e+14,6.183e+33
3.073e+14,1.001e+34
3.603e+14,1.513e+34
4.139e+14,2.160e+34
4.685e+14,2.974e+34
5.241e+14,3.933e+34
5.816e+14,4.709e+34
6.402e+14,5.588e+34
6.998e+14,6.621e+34
7.604e+14,7.807e+34
8.220e+14,8.987e+34 
8.846e+14,1.026e+35 
9.481e+14,1.166e+35 
1.013e+15,1.320e+35 
1.078e+15,1.489e+35 
1.145e+15,1.674e+35 
1.212e+15,1.875e+35 
1.281e+15,2.090e+35 
1.350e+15,2.299e+35 
1.421e+15,2.512e+35 
1.493e+15,2.732e+35 
1.565e+15,2.959e+35 
1.639e+15,3.188e+35 
