r,P
6.7232e+13,1.6213e+32
1.0101e+14,4.8916e+32
1.3495e+14,1.1390e+33
1.6914e+14,2.2044e+33
2.0360e+14,3.7261e+33
2.3840e+14,5.6872e+33
2.7354e+14,8.1772e+33
3.0906e+14,1.1248e+34
3.4501e+14,1.4940e+34
3.8139e+14,1.9290e+34
4.1826e+14,2.4327e+34
4.5562e+14,3.0074e+34
4.9351e+14,3.6556e+34
5.3192e+14,4.2700e+34
5.7076e+14,4.8473e+34
6.1002e+14,5.4507e+34
6.4967e+14,6.0394e+34
6.8967e+14,6.6576e+34
7.3009e+14,7.3140e+34
7.7086e+14,8.0131e+34
8.1199e+14,8.7572e+34
8.5354e+14,9.5483e+34
8.9547e+14,1.0388e+35
9.3779e+14,1.1277e+35
9.8054e+14,1.2217e+35
1.0237e+15,1.3208e+35
1.0673e+15,1.4251e+35
1.1113e+15,1.5348e+35
1.1557e+15,1.6496e+35
1.2006e+15,1.7699e+35
1.2459e+15,1.8956e+35
1.2916e+15,2.0267e+35
1.3378e+15,2.1632e+35
1.3845e+15,2.3023e+35
1.4316e+15,2.4415e+35
1.4791e+15,2.5837e+35
1.5271e+15,2.7298e+35
1.5755e+15,2.8801e+35
1.6243e+15,3.0348e+35
1.6736e+15,3.1939e+35
1.7233e+15,3.3580e+35
1.7735e+15,3.5269e+35
1.8241e+15,3.7005e+35
1.8751e+15,3.8791e+35
1.9266e+15,4.0549e+35
1.9785e+15,4.2304e+35
2.0308e+15,4.4088e+35
2.1367e+15,4.7718e+35
2.2443e+15,5.1537e+35
2.3535e+15,5.5518e+35
2.4645e+15,5.9670e+35
2.5770e+15,6.3974e+35
2.6913e+15,6.8448e+35
2.8073e+15,7.3105e+35
