r,P
5.045e+13,4.568e+31
1.010e+14,2.739e+32
1.518e+14,1.123e+33
2.032e+14,2.929e+33
2.549e+14,5.788e+33
3.073e+14,9.754e+33
3.602e+14,1.494e+34
4.140e+14,2.139e+34
4.686e+14,2.916e+34
5.241e+14,3.827e+34
5.806e+14,4.874e+34
6.388e+14,5.840e+34
6.982e+14,6.819e+34
7.586e+14,7.883e+34
8.199e+14,9.040e+34
8.822e+14,1.029e+35
9.454e+14,1.156e+35
1.010e+15,1.287e+35
1.074e+15,1.424e+35
1.140e+15,1.558e+35
1.207e+15,1.720e+35
1.274e+15,1.879e+35
1.343e+15,2.045e+35
1.412e+15,2.219e+35
1.482e+15,2.401e+35
1.552e+15,2.591e+35
1.624e+15,2.789e+35
1.697e+15,2.995e+35
1.770e+15,3.209e+35
1.844e+15,3.431e+35
1.919e+15,3.660e+35
1.995e+15,3.898e+35
2.071e+15,4.136e+35
2.149e+15,4.377e+35
2.227e+15,4.623e+35
2.306e+15,4.875e+35
2.386e+15,5.132e+35
2.466e+15,5.396e+35
2.548e+15,5.666e+35
2.630e+15,5.942e+35
